dataset,model,regime,n_series,n_points,mape_median,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median
M4,S3Forecaster,non_shock,83,,0.018248322590821,1.824832259082105,,1.7966347331194323,,0.3842934001101999,,100.47531664781708,,0.9696251516166222,,2.493948429848553
M4,S3Forecaster,shock,116,,0.06457317321923026,6.457317321923027,,6.495831676393217,,0.4206722808265751,,241.11144653266192,,0.9694951462927456,,3.104778796675565
M4,SeasonalNaive,non_shock,83,,0.0501126273060716,5.011262730607166,,5.034201911053352,,1.0199663024266132,,272.5546605728841,,0.8943244512195817,,4.526099840437657
M4,SeasonalNaive,shock,116,,0.1373000494685725,13.730004946857253,,13.869076845834865,,0.7739441203647446,,521.2652103416062,,0.908334047448169,,4.505319797484606
M4,Theta,non_shock,83,,0.0148062956947533,1.4806295694753309,,1.4688328464134834,,0.2928154757148251,,79.38837638682456,,0.9004631986375856,,1.6950920885602276
M4,Theta,shock,116,,0.05087449798488575,5.087449798488578,,5.090439271211839,,0.34607926087676005,,207.75058575276157,,0.9053075654178263,,2.2790332346336597
M3,AR,non_shock,88,,0.02321685941823195,2.3216859418232,,2.3341257379288716,,0.4084433142586635,,193.98606338492112,,0.9295581423923669,,2.164928506916529
M3,AR,shock,111,,0.0966928120188252,9.66928120188252,,10.355525684758776,,0.6157186796354042,,537.5504213979814,,0.926834635952283,,3.67365875793156
M3,ARIMA,non_shock,88,,0.0213691901836994,2.136919018369948,,2.148281861897771,,0.3447249276038638,,168.66513455125744,,0.9296051597689299,,2.1920450977088892
M3,ARIMA,shock,111,,0.0970012372832152,9.700123728321524,,9.570247268042737,,0.5703405844710848,,535.1015788933865,,0.9286528301234184,,3.444493837494392
M3,CNN,non_shock,200,3414,,12.83821548561625,21.40942733630953,12.545369812480352,21.256513331227467,0.9880306848395268,0.8804129327026016,716.8610162768708,817.7706823171184,0.9308535304564717,2971.764485677083,5.671083769439282
M3,CNN,shock,46,186,,24.588210073945717,33.70673447433935,25.9654676994402,34.74881025653207,2.376726333058865,2.184747961890791,1410.8146423596277,1585.7298669544102,0.6855754752493882,3994.803548177083,10.044635201107651
M3,Chronos-Bolt-Small,non_shock,200,3414,,7.62419985090977,15.049296871078244,7.5228912044714775,15.857822974790125,0.6886701005816535,0.5563898927365218,525.0920844403084,658.3098402382068,0.9214377685223273,2216.714042075164,4.003093788144993
M3,Chronos-Bolt-Small,shock,46,186,,20.47212762470383,26.49177929046158,22.813686612992214,27.15955197321265,2.2967257782704222,1.393537154508886,1270.3730973460906,1414.393043199865,0.6569687558817994,3171.9547119140625,9.551367758143918
M3,ETS,non_shock,88,,0.022048520594656153,2.204852059465618,,2.208719254695572,,0.35110680919898923,,170.07434866632087,,0.9392980159323742,,2.1337846842395676
